gender|height
male|5'9
female|5'2
female|5'6
male|6'10
male|5'7
female|5'3
female|5'5
male|6'1
female|5'4
male|5'6
male|5'8
female|5'1
female|5'0
male|6'2
male|5'3
female|5'6
female|5'10
male|6'4
female|5'2
male|5'5
male|5'10
female|5'5
female|5'8
male|6'1
male|5'8
female|5'5
female|5'6
male|6'0
female|5'2
male|5'8
male|5'9
female|5'6
female|5'6
male|6'0
male|5'6
female|5'11
female|5'0
male|6'0
female|5'7
male|5'10
male|5'9
female|5'2
female|5'6
male|6'10
male|5'7
female|5'3
female|5'5
male|6'1
female|5'4
male|5'6
male|5'8
female|5'1
female|5'0
male|6'0
male|5'7
female|5'4
female|5'9
male|6'1
female|5'5
male|5'10
male|5'11
female|5'9
female|5'5
male|5'4
male|5'9
female|5'4
female|5'5
male|6'5
female|5'11
male|5'8
male|5'9
female|5'6
female|5'6
male|6'4
male|5'10
female|5'8
female|5'9
male|6'0
female|5'7
male|5'11
male|5'9
female|5'2
female|5'6
male|6'10
male|5'7
female|5'3
female|5'5
male|6'1
female|5'4
male|5'6
male|5'8
female|5'1
female|5'0
male|6'2
male|5'3
female|5'6
female|5'10
male|6'4
female|5'2
male|5'5
male|5'10
female|5'5
female|5'8
male|6'1
male|5'8
female|5'5
female|5'6
male|6'0
female|5'2
male|5'8
male|5'9
female|5'6
female|5'6
male|6'0
male|5'6
female|5'11
female|5'0
male|6'0
female|5'7
male|5'10
male|5'9
female|5'2
female|5'6
male|6'10
male|5'7
female|5'3
female|5'5
male|6'1
female|5'4
male|5'6
male|5'8
female|5'1
female|5'0
male|6'0
male|5'7
female|5'4
female|5'9
male|6'1
female|5'5
male|5'10
male|5'11
female|5'9
female|5'5
male|5'4
male|5'9
female|5'4
female|5'5
male|6'5
female|5'11
male|5'8
male|5'9
female|5'6
female|5'6
male|6'4
male|5'10
female|5'8
female|5'9
male|6'0
female|5'7
male|5'11
